caption_id,image_id,caption,image_path,url
0,10717,,training/k/kitchen/ADE_train_00010717.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010717.jpg
1,32,,training/b/bathroom/ADE_train_00000032.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000032.jpg
2,5510,,training/c/childs_room/ADE_train_00005510.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/childs_room/ADE_train_00005510.jpg
3,10719,,training/k/kitchen/ADE_train_00010719.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010719.jpg
4,634,,training/k/kitchen/ADE_train_00000634.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00000634.jpg
5,11301,,training/l/living_room/ADE_train_00011301.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011301.jpg
6,4218,,training/b/bedroom/ADE_train_00004218.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004218.jpg
7,10754,,training/k/kitchenette/ADE_train_00010754.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchenette/ADE_train_00010754.jpg
8,14981,,training/p/pantry/ADE_train_00014981.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/pantry/ADE_train_00014981.jpg
9,1913,,training/a/attic/ADE_train_00001913.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/a/attic/ADE_train_00001913.jpg
10,101485,,validation/k/kitchen/ADE_val_00001485.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/k/kitchen/ADE_val_00001485.jpg
11,9,,training/b/bathroom/ADE_train_00000009.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000009.jpg
12,8394,,training/g/game_room/ADE_train_00008394.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/game_room/ADE_train_00008394.jpg
13,2711,,training/b/bathroom/ADE_train_00002711.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002711.jpg
14,5707,,training/c/closet/ADE_train_00005707.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/closet/ADE_train_00005707.jpg
15,2629,,training/b/bathroom/ADE_train_00002629.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002629.jpg
16,2887,,training/b/bathroom/ADE_train_00002887.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00002887.jpg
17,4456,,training/b/bow_window/indoor/ADE_train_00004456.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bow_window/indoor/ADE_train_00004456.jpg
18,101306,,validation/d/dining_room/ADE_val_00001306.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/d/dining_room/ADE_val_00001306.jpg
19,11397,,training/l/living_room/ADE_train_00011397.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011397.jpg
20,7115,,training/d/dining_room/ADE_train_00007115.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/d/dining_room/ADE_train_00007115.jpg
21,901,,training/l/living_room/ADE_train_00000901.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00000901.jpg
22,9576,,training/h/hotel_room/ADE_train_00009576.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/h/hotel_room/ADE_train_00009576.jpg
23,11192,,training/l/living_room/ADE_train_00011192.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011192.jpg
24,11199,,training/l/living_room/ADE_train_00011199.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011199.jpg
25,4178,,training/b/bedroom/ADE_train_00004178.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004178.jpg
26,352,,training/b/bedroom/ADE_train_00000352.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00000352.jpg
27,10305,,training/k/kitchen/ADE_train_00010305.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010305.jpg
28,8444,,training/g/garage/indoor/ADE_train_00008444.jpg,https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/alatif/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/garage/indoor/ADE_train_00008444.jpg
