;caption_id;image_id;caption;image_path;
0;0;10717;A traditional wooden kitchen with a black water boiler, a black oven, a plant and a window.;training/k/kitchen/ADE_train_00010717.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000032.jpg
1;1;32;A well-lit bathroom with a nice sea view, with wooden furniture and a white bathtub.;training/b/bathroom/ADE_train_00000032.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000032.jpg
2;2;5510;A children bedroom with a bed, a white alarm clock and a lamp with metallic color.;training/c/childs_room/ADE_train_00005510.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/c/childs_room/ADE_train_00005510.jpg
3;3;10719;A well-equipped white kitchen with a quadratic wooden table with 3 stools under a  luster.;training/k/kitchen/ADE_train_00010719.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00010719.jpg
4;4;634;A large kitchen with a window, equipped with a gas stove and a metal sink.;training/k/kitchen/ADE_train_00000634.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchen/ADE_train_00000634.jpg
5;5;11301;A large living-room with a chimney, 3 paintings and walls painted in yellow.;training/l/living_room/ADE_train_00011301.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/l/living_room/ADE_train_00011301.jpg
6;6;4218;This is a clean hotel bedroom with a blue carpeted floor and a couch of the same color.;training/b/bedroom/ADE_train_00004218.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bedroom/ADE_train_00004218.jpg
7;7;10754;A small kitchen with a wall cupboard, a sink on the left of the door and an electric stove above fridge. ;training/k/kitchenette/ADE_train_00010754.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/k/kitchenette/ADE_train_00010754.jpg
8;8;14981;A close-up on a pantry with office supply and some kitchen utensil.;training/p/pantry/ADE_train_00014981.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/p/pantry/ADE_train_00014981.jpg
9;9;1913;An empty attic room in white with 2 ceiling fans with lights.;training/a/attic/ADE_train_00001913.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/a/attic/ADE_train_00001913.jpg
10;10;101485;A narrow kitchen with neon light a window and brown furniture.;validation/k/kitchen/ADE_val_00001485.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/validation/k/kitchen/ADE_val_00001485.jpg
11;11;9;A small bathroom with white square tiles, a toilet and a painting with flowers above it.;training/b/bathroom/ADE_train_00000009.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/b/bathroom/ADE_train_00000009.jpg
12;12;8394;A living room accessed though a staircase with a corner couch and a airhockey table.;training/g/game_room/ADE_train_00008394.jpg;https://jarvis.ling.uni-potsdam.de/clp-pmvss21-1/jupyter/user/lborec/view/data/ImageCorpora/ADE20K_2016_07_26/images/training/g/game_room/ADE_train_00008394.jpg
